City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,korla,41.7597,86.1469,291.13,36,0,0.85,CN,1728571456
302,sao joao da barra,-21.6403,-41.0511,295.2,79,100,6.82,BR,1728571457
303,mogocha,53.7333,119.7667,273.49,77,100,1.18,RU,1728571459
304,katsuura,35.1333,140.3,292.26,78,74,6.91,JP,1728571460
305,greymouth,-42.4667,171.2,278.16,94,23,2.28,NZ,1728571461
306,quibdo,5.6947,-76.6611,298.34,94,100,1.54,CO,1728571463
307,santander,43.4647,-3.8044,292.37,70,20,4.12,ES,1728571464
308,kavak,41.0783,36.0425,290.16,92,100,2.04,TR,1728571465
309,taishan,22.2514,112.7799,296.74,74,32,1.28,CN,1728571467
310,fale old settlement,-9.3852,-171.2468,300.97,76,50,5.23,TK,1728571468
311,port saint john's,-31.6229,29.5448,301.45,56,25,7.43,ZA,1728571469
312,boca do acre,-8.7522,-67.3978,307.37,43,89,0.86,BR,1728571471
313,gaiman,-43.2897,-65.4929,293.26,24,99,4.06,AR,1728571472
314,lagos,6.5833,3.75,303.06,67,43,3.22,NG,1728570802
315,bushehr,28.9684,50.8385,304.2,55,0,3.09,IR,1728571476
316,caleta de carquin,-11.0925,-77.6267,292.38,81,86,4.3,PE,1728571478
317,bandar-e genaveh,29.5791,50.517,302.97,60,0,1.97,IR,1728571479
318,dudinka,69.4058,86.1778,267.87,91,91,6.52,RU,1728571480
319,gurupi,-11.7292,-49.0686,314.45,17,8,2.28,BR,1728571345
320,basco,20.4487,121.9702,300.6,79,25,6.87,PH,1728571483
321,kachia,9.8667,7.95,302.62,56,13,1.87,NG,1728571484
322,kabo,7.6994,18.629,300.99,74,80,1.65,CF,1728571486
323,tadine,-21.55,167.8833,294.49,79,100,4.97,NC,1728571487
324,bay roberts,47.5999,-53.2648,288.18,93,100,2.24,CA,1728571488
325,mar del plata,-38.0023,-57.5575,291.16,72,75,5.81,AR,1728571408
326,olyokminsk,60.3736,120.4264,269.79,99,91,1.23,RU,1728571491
327,dryden,49.7833,-92.7503,282.31,66,0,5.66,CA,1728571493
328,arno,60.1167,18.6333,285.61,95,100,9.63,SE,1728571495
329,chardara,41.2547,67.9692,295.6,39,72,4.41,KZ,1728571496
330,gannan,47.9147,123.5031,278.88,34,33,1.88,CN,1728571498
331,taguatinga,-12.3857,-46.5711,311.32,19,57,2.34,BR,1728571499
332,igarka,67.4667,86.5833,268.8,93,98,6.9,RU,1728571500
333,alotau,-10.3069,150.4462,297.17,97,99,1.94,PG,1728571502
334,ugoofaaru,5.6667,73.0,300.69,81,100,9.51,MV,1728571503
335,tual,-5.6667,132.75,300.69,84,66,4.1,ID,1728571504
336,chonchi,-42.6128,-73.8092,282.66,97,100,1.32,CL,1728571506
337,kaohsiung,22.6163,120.3133,299.12,82,75,2.57,TW,1728571507
338,st. john's,47.5649,-52.7093,287.81,95,75,4.63,CA,1728571380
339,cheat lake,39.672,-79.8534,284.51,75,0,1.54,US,1728571510
340,zapala,-38.8992,-70.0544,293.58,17,8,6.82,AR,1728571511
341,nuevitas,21.5453,-77.2644,305.41,59,97,5.78,CU,1728571512
342,piacabucu,-10.4056,-36.4344,302.82,57,19,6.86,BR,1728571514
343,morristown,36.214,-83.2949,290.39,68,0,1.54,US,1728571470
344,potosi,-19.5836,-65.7531,284.63,35,0,7.72,BO,1728571516
345,la ronge,55.1001,-105.2842,278.29,87,75,3.6,CA,1728571518
346,ahmadpur sial,30.6754,71.7483,302.6,19,0,1.28,PK,1728571449
347,nema,57.5067,50.5011,275.37,64,100,6.27,RU,1728571520
